code	symbol
0	Control
1	1000
2	10000456
3	10000860
4	100016
5	100018
6	10002592
7	100026
8	10003218
9	10005638
10	10008367
11	100094
12	1000980
13	1001
14	10012466
15	10014426
16	10014835
17	100168
18	10020353
19	100205
20	10020580
21	10021885
22	10022392
23	10022508
24	10022738
25	10023244
26	100253
27	10026128
28	10027278
29	10028014
30	10028311
31	10029385
32	10031398
33	10031513
34	10031663
35	10032234
36	10033072
37	100334
38	10033623
39	10034073
40	100341
41	10034809
42	10038868
43	10039361
44	10039526
45	10040286
46	10041070
47	10042240
48	100427
49	10044321
50	10048741
51	100492
52	100493
53	100516
54	10051937
55	10052040
56	100526
57	100528
58	10052896
59	10055215
60	10058237
61	10058277
62	100633
63	10063341
64	10064074
65	100641
66	10065132
67	10065830
68	100659
69	10066681
70	10067489
71	10068193
72	10069117
73	10070301
74	10070883
75	10070893
76	10071166
77	10071196
78	100714
79	10071840
80	10072255
81	10074640
82	10075022
83	10076238
84	10076782
85	10077130
86	10077147
87	10077207
88	1007755
89	10079039
90	10079497
91	100801
92	10081070
93	100812
94	10081842
95	10082313
96	10083003
97	10084135
98	10086833
99	10089254
100	10090393
101	10090485
102	10091337
103	10091424
104	10092649
105	100951623
106	10096043
107	10096344
108	100968221
109	10098
110	100990912
111	10099522
112	10099939
113	101
114	10100996
115	10101269
116	101043861
117	10104483
118	10106
119	101071473
120	10108190
121	10109069
122	10109178
123	10109823
124	10110536
125	10110895
126	10111431
127	10111831
128	1011240
129	10113124
130	101135270
131	101135271
132	101136468
133	10113978
134	10114
135	10114809
136	10115992
137	10117987
138	10120218
139	101207514
140	10123561
141	101248035
142	10125107
143	101257
144	10125895
145	10126189
146	10127259
147	10127622
148	10127776
149	101300
150	101301
151	10130423
152	101306702
153	101306826
154	10130754
155	10131112
156	101316847
157	10133
158	10133297
159	1013376
160	1013514
161	10135509
162	10135759
163	101375811
164	10137940
165	101380092
166	10138260
167	10138980
168	10138988
169	10139005
170	10139047
171	101397601
172	1014
173	10140
174	101408705
175	101422334
176	101429690
177	10143
178	10146
179	10146160
180	101476432
181	101476433
182	10149311
183	101498
184	1015
185	10150497
186	101507
187	10152529
188	101526
189	10152654
190	10152671
191	10153079
192	10154
193	101568804
194	101571768
195	10157484
196	10158453
197	10158668
198	10158940
199	10159536
200	101600079
201	10160102
202	101601989
203	1016023
204	10160238
205	101612
206	10161380
207	101615
208	101616
209	10161765
210	101619
211	10161935
212	10163
213	101644650
214	101656439
215	101672279
216	101679160
217	10168
218	10168449
219	101686456
220	101688453
221	101691130
222	101696497
223	10169886
224	1017
225	101701119
226	101709344
227	101712
228	10172275
229	10172943
230	10173277
231	10173280
232	10173949
233	101740041
234	10174012
235	101744
236	10174505
237	101746
238	101749
239	10175076
240	10175330
241	101761
242	10176749
243	10177
244	1017704
245	10177784
246	101788
247	101798
248	1018
249	10180
250	101810
251	10182969
252	10184653
253	10184665
254	10186367
255	10187378
256	101886302
257	101886309
258	101891769
259	10189783
260	101916326
261	101920412
262	101937996
263	101938917
264	10195003
265	10195242
266	10195250
267	10195666
268	101964
269	10196499
270	101967019
271	101967102
272	10196873
273	101977
274	10198719
275	101989
276	101995328
277	101997792
278	102
279	10200390
280	102004307
281	102004330
282	102004339
283	102004412
284	102004530
285	102004611
286	102004650
287	102004830
288	102004833
289	102004842
290	102004843
291	102004844
292	102004861
293	102004864
294	102004868
295	102004869
296	102004870
297	102004875
298	102004879
299	102004887
300	102004930
301	10200757
302	102007835
303	10200813
304	10201696
305	102022989
306	10202471
307	10202534
308	10202642
309	10202732
310	10203597
311	10203781
312	10204
313	102041439
314	10204153
315	10205
316	10206
317	10206158
318	102063144
319	10207
320	102075690
321	10208
322	102085574
323	102086511
324	10209082
325	102093790
326	102093791
327	10210160
328	10211
329	10212
330	102120501
331	10212249
332	10215
333	10215932
334	10217
335	10217017
336	10217198
337	102175
338	102185205
339	10218629
340	10218693
341	10218765
342	10219
343	102194326
344	102196658
345	10219702
346	10220069
347	10220256
348	10220323
349	10220503
350	10220590
351	10220912
352	10220941
353	102212
354	10221290
355	102213
356	10221643
357	102226973
358	10222761
359	10223146
360	102248350
361	102258917
362	10226546
363	10228
364	10228095
365	102288345
366	10229237
367	10231331
368	102316453
369	102316541
370	1023495
371	10235
372	102350789
373	10236
374	102369397
375	102369451
376	10237
377	1023768
378	10238083
379	10238333
380	102384367
381	10238982
382	102393334
383	10239341
384	1024
385	102402404
386	102416165
387	102428
388	10243
389	10243700
390	102441955
391	102475150
392	10248
393	102484
394	10249534
395	10250
396	10251
397	10251869
398	10252640
399	10252734
400	10253143
401	1025330
402	10253430
403	10253565
404	10253785
405	10254
406	10255
407	102554
408	10256
409	10256418
410	10256643
411	10257882
412	102582111
413	102584715
414	102594495
415	102594497
416	10260031
417	102601439
418	102602704
419	10260582
420	102614
421	10262466
422	10263
423	10264211
424	10265481
425	102678
426	10268
427	10268054
428	10270102
429	10270889
430	10275777
431	10275789
432	10277652
433	102783
434	10278617
435	10279
436	10280735
437	10281
438	10286159
439	10287099
440	10287886
441	10288191
442	102907
443	10290886
444	10291489
445	10291556
446	10291948
447	1029232
448	10292573
449	102926
450	10293378
451	10294813
452	10295295
453	10296
454	10296883
455	10297043
456	10298385
457	10299876
458	1030
459	10302
460	10302451
461	10303277
462	10308088
463	10308720
464	10310100
465	10311306
466	10311918
467	10313
468	10313079
469	10313226
470	10314472
471	10314719
472	10315945
473	10316032
474	10317566
475	10320107
476	10320238
477	10321921
478	10321991
479	10322450
480	10322821
481	10322911
482	10323076
483	10324083
484	10324367
485	10324821
486	10325743
487	10327891
488	10328286
489	10328746
490	10328936
491	10329
492	10330240
493	10331844
494	10332902
495	10333842
496	10334137
497	10335228
498	10335364
499	10336715
500	10337209
501	10337211
502	10338547
503	10340264
504	10340781
505	10341154
506	10341948
507	10343042
508	10343454
509	10345799
510	10346401
511	1034641
512	1034643
513	10346914
514	10347428
515	10348973
516	10349562
517	10350317
518	10351
519	10352540
520	10354234
521	10356316
522	10356588
523	10357822
524	10359083
525	10360455
526	10361323
527	10364
528	10364396
529	10365
530	10366136
531	10367662
532	10367978
533	10368810
534	10369242
535	10370504
536	10370762
537	10371537
538	10371638
539	10372836
540	10373017
541	10373834
542	10374
543	10375597
544	10377
545	1037728
546	10377751
547	10379137
548	10380472
549	10381810
550	10383
551	10383616
552	10385095
553	10386195
554	10387163
555	10387694
556	10387982
557	103879928
558	10389239
559	103899
560	10391
561	103924
562	10392802
563	10393
564	10394
565	10394343
566	10395228
567	10395438
