cell_line,split,name,estimator,embedding,primary_metric,L2,MSE,MAE,Spearman,Pearson,path
A549,heldout_molecules,knn_baseline_ChemBERTa-77M-MLM,knn,ChemBERTa-77M-MLM,L2,7.492813375055447,0.003477548886319011,0.026410597854681476,0.20252761070037728,0.2442580134914173,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-07.255346.json
A549,heldout_molecules,knn_baseline_ChemBERTa-77M-MTR,knn,ChemBERTa-77M-MTR,L2,7.445855842282718,0.003415371062572841,0.026273087737111334,0.20866332907162918,0.2679394760112804,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-09.103324.json
A549,heldout_molecules,knn_baseline_avalon,knn,avalon,L2,7.352292194459638,0.0034225990787052564,0.026007156780395207,0.20865379836232129,0.25162519620143575,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-28.688322.json
A549,heldout_molecules,knn_baseline_cats2D,knn,cats2D,L2,7.292946590850299,0.003325735531258117,0.025930019157136018,0.20536097297011843,0.28467841113489895,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-26.707397.json
A549,heldout_molecules,knn_baseline_cats3D,knn,cats3D,L2,7.230221622862016,0.0032460042705080225,0.02567570387735665,0.21917476765876118,0.29620524371045015,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-26.924624.json
A549,heldout_molecules,knn_baseline_chatgpt,knn,chatgpt,L2,7.74429409033092,0.0036034969136738686,0.027019813239802556,0.2524553155437439,0.3214117993141098,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-28.513300.json
A549,heldout_molecules,knn_baseline_ecfp,knn,ecfp,L2,7.388447177426347,0.0034422766390465633,0.0261666672625544,0.19934723857643757,0.24125126770211544,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-31.103309.json
A549,heldout_molecules,knn_baseline_erg,knn,erg,L2,7.172376680276959,0.003342696942663848,0.025448760916911388,0.21252577175836715,0.27764616970434924,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-31.155919.json
A549,heldout_molecules,knn_baseline_fcfp,knn,fcfp,L2,7.38860929202839,0.003442133819070436,0.02616989792710852,0.19926368121095855,0.24143459641044154,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-34.727098.json
A549,heldout_molecules,knn_baseline_maccs,knn,maccs,L2,7.3943758031943965,0.00331027580561822,0.02610158302941342,0.22233838407778236,0.2878567218439963,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-36.897227.json
A549,heldout_molecules,knn_baseline_morgan_initialized_lpm,knn,morgan_initialized_lpm,L2,7.221131707056251,0.0031959194403450675,0.025690812331843168,0.2055756989389392,0.2589513010805997,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-53-56.748260.json
A549,heldout_molecules,knn_baseline_pca,knn,pca,L2,6.053216268942216,0.0022924976387812854,0.021593968736921633,0.4477038423007481,0.5517381368673753,benchmark/benchmark/submissions_sciplex_lfc_heldout_molecules_fresh/expression/pert_prediction_sciplex3_regression/A549.heldout_molecules/2026-05-25T23-54-00.975014.json
