,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
0,expression/pert_prediction_sciplex3_regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.295458200306749, 'MSE': 0.0038723686662514964, 'MAE': 0.025193777001311115, 'Spearman': 0.2970732611570982, 'Pearson': 0.37307678158512636}",knn_baseline_cats2D,L2,7.295458200306749,0.0038723686662514964,0.025193777001311115,0.2970732611570982,0.37307678158512636,MCF7
1,expression/pert_prediction_sciplex3_regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.27211253019571, 'MSE': 0.003973161260248766, 'MAE': 0.025175224604997725, 'Spearman': 0.295802113781559, 'Pearson': 0.3728445794329871}",knn_baseline_LPM_emb,L2,7.27211253019571,0.003973161260248766,0.025175224604997725,0.295802113781559,0.3728445794329871,MCF7
2,expression/pert_prediction_sciplex3_regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.5661525676723755, 'MSE': 0.004237919301434295, 'MAE': 0.02593071960312387, 'Spearman': 0.26395442421594073, 'Pearson': 0.32584736880553}",knn_baseline_random,L2,7.5661525676723755,0.004237919301434295,0.02593071960312387,0.26395442421594073,0.32584736880553,MCF7
3,expression/pert_prediction_sciplex3_regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.296253889033183, 'MSE': 0.0037852434671974636, 'MAE': 0.02520281036077795, 'Spearman': 0.29144666738714137, 'Pearson': 0.35916221234955364}",knn_baseline_ChemBERTa-77M-MTR,L2,7.296253889033183,0.0037852434671974636,0.02520281036077795,0.29144666738714137,0.35916221234955364,MCF7
4,expression/pert_prediction_sciplex3_regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 6.05233033478298, 'MSE': 0.0026206997138990148, 'MAE': 0.02133571847040109, 'Spearman': 0.4804138458192191, 'Pearson': 0.6010390461505474}",knn_baseline_pca,L2,6.05233033478298,0.0026206997138990148,0.02133571847040109,0.4804138458192191,0.6010390461505474,MCF7
5,expression/pert_prediction_sciplex3_regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.676535767207828, 'MSE': 0.004154775919377626, 'MAE': 0.0261665486842289, 'Spearman': 0.2645743165269914, 'Pearson': 0.3196082906657181}",knn_baseline_ChemBERTa-77M-MLM,L2,7.676535767207828,0.004154775919377626,0.0261665486842289,0.2645743165269914,0.3196082906657181,MCF7
6,expression/pert_prediction_sciplex3_regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.579215817153752, 'MSE': 0.004174546718981694, 'MAE': 0.026071046921369075, 'Spearman': 0.26545512771567586, 'Pearson': 0.3305978733282507}",knn_baseline_avalon,L2,7.579215817153752,0.004174546718981694,0.026071046921369075,0.26545512771567586,0.3305978733282507,MCF7
7,expression/pert_prediction_sciplex3_regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.555542124727804, 'MSE': 0.00417177547851169, 'MAE': 0.025912348994938973, 'Spearman': 0.26818956385676285, 'Pearson': 0.329371350927049}",knn_baseline_ECFP:2_pkl,L2,7.555542124727804,0.00417177547851169,0.025912348994938973,0.26818956385676285,0.329371350927049,MCF7
8,expression/pert_prediction_sciplex3_regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.410517154996304, 'MSE': 0.004099307757959758, 'MAE': 0.025545897051491635, 'Spearman': 0.2803699203742787, 'Pearson': 0.3520048160870828}",knn_baseline_cats3D,L2,7.410517154996304,0.004099307757959758,0.025545897051491635,0.2803699203742787,0.3520048160870828,MCF7
9,expression/pert_prediction_sciplex3_regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.443177210626141, 'MSE': 0.004111648322639379, 'MAE': 0.02579115237600921, 'Spearman': 0.2537735717867652, 'Pearson': 0.3403637431311854}",knn_baseline_erg,L2,7.443177210626141,0.004111648322639379,0.02579115237600921,0.2537735717867652,0.3403637431311854,MCF7
