,dataset,fold,metrics,name,roc_auc,average_precision,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,cell_line,quantile
0,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.16292645037174225, 'average_precision': 0.796347975730896, 'f1_score': 0.7371803522109985, 'recall': 0.7417818307876587, 'precision': 0.7448801398277283, 'primary_metric': 'f1_score'}",random,0.16292645037174225,0.796347975730896,0.7371803522109985,0.7417818307876587,0.7448801398277283,,,f1_score,CVCL_0023,
1,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.1571958065032959, 'average_precision': 0.7930635809898376, 'f1_score': 0.7379148006439209, 'recall': 0.7532139420509338, 'precision': 0.73157799243927, 'primary_metric': 'f1_score'}",PCA.logFC_v1_64,0.1571958065032959,0.7930635809898376,0.7379148006439209,0.7532139420509338,0.73157799243927,,,f1_score,CVCL_0023,
2,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.2774244546890259, 'average_precision': 0.913502037525177, 'f1_score': 0.827250063419342, 'recall': 0.8371793031692505, 'precision': 0.8318799734115601, 'primary_metric': 'f1_score'}",pca,0.2774244546890259,0.913502037525177,0.827250063419342,0.8371793031692505,0.8318799734115601,,,f1_score,CVCL_0023,
3,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.1485924869775772, 'average_precision': 0.7882952690124512, 'f1_score': 0.7376892566680908, 'recall': 0.75312739610672, 'precision': 0.7324151396751404, 'primary_metric': 'f1_score'}",PCA.t_v1_64,0.1485924869775772,0.7882952690124512,0.7376892566680908,0.75312739610672,0.7324151396751404,,,f1_score,CVCL_0023,
4,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.15454930067062378, 'average_precision': 0.7931541204452515, 'f1_score': 0.7132731080055237, 'recall': 0.7064254879951477, 'precision': 0.7450878620147705, 'primary_metric': 'f1_score'}",PCA.logFC_v2_64,0.15454930067062378,0.7931541204452515,0.7132731080055237,0.7064254879951477,0.7450878620147705,,,f1_score,CVCL_0023,
5,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.15672925114631653, 'average_precision': 0.7915351390838623, 'f1_score': 0.7171929478645325, 'recall': 0.7136675119400024, 'precision': 0.7450376152992249, 'primary_metric': 'f1_score'}",PCA.t_v2_64,0.15672925114631653,0.7915351390838623,0.7171929478645325,0.7136675119400024,0.7450376152992249,,,f1_score,CVCL_0023,
6,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.15151447057724, 'average_precision': 0.7881622910499573, 'f1_score': 0.728969395160675, 'recall': 0.7310180068016052, 'precision': 0.738963782787323, 'primary_metric': 'f1_score'}",PCA.t_v2_128,0.15151447057724,0.7881622910499573,0.728969395160675,0.7310180068016052,0.738963782787323,,,f1_score,CVCL_0023,
7,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.15426857769489288, 'average_precision': 0.7908579111099243, 'f1_score': 0.7247877717018127, 'recall': 0.7240172028541565, 'precision': 0.7405736446380615, 'primary_metric': 'f1_score'}",PCA.logFC_v2_128,0.15426857769489288,0.7908579111099243,0.7247877717018127,0.7240172028541565,0.7405736446380615,,,f1_score,CVCL_0023,
8,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.15047875046730042, 'average_precision': 0.7905611395835876, 'f1_score': 0.713240385055542, 'recall': 0.7074048519134521, 'precision': 0.7415565848350525, 'primary_metric': 'f1_score'}",PCA.logFC_v3_64,0.15047875046730042,0.7905611395835876,0.713240385055542,0.7074048519134521,0.7415565848350525,,,f1_score,CVCL_0023,
9,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.14385280013084412, 'average_precision': 0.7858294248580933, 'f1_score': 0.7191253304481506, 'recall': 0.7133744955062866, 'precision': 0.7396785020828247, 'primary_metric': 'f1_score'}",PCA.t_v3_64,0.14385280013084412,0.7858294248580933,0.7191253304481506,0.7133744955062866,0.7396785020828247,,,f1_score,CVCL_0023,
10,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.15496446192264557, 'average_precision': 0.792842447757721, 'f1_score': 0.7337563633918762, 'recall': 0.7357337474822998, 'precision': 0.7446409463882446, 'primary_metric': 'f1_score'}",PCA.t_v3_128,0.15496446192264557,0.792842447757721,0.7337563633918762,0.7357337474822998,0.7446409463882446,,,f1_score,CVCL_0023,
11,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.16149172186851501, 'average_precision': 0.7959522604942322, 'f1_score': 0.7307911515235901, 'recall': 0.7308984994888306, 'precision': 0.7435786724090576, 'primary_metric': 'f1_score'}",PCA.logFC_v3_128,0.16149172186851501,0.7959522604942322,0.7307911515235901,0.7308984994888306,0.7435786724090576,,,f1_score,CVCL_0023,
12,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.1579779088497162, 'average_precision': 0.7948945760726929, 'f1_score': 0.7199277281761169, 'recall': 0.715686023235321, 'precision': 0.7467702031135559, 'primary_metric': 'f1_score'}",PCA.logFC_v4_64,0.1579779088497162,0.7948945760726929,0.7199277281761169,0.715686023235321,0.7467702031135559,,,f1_score,CVCL_0023,
13,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.152694433927536, 'average_precision': 0.789996325969696, 'f1_score': 0.7224863767623901, 'recall': 0.7211779952049255, 'precision': 0.7430399060249329, 'primary_metric': 'f1_score'}",PCA.t_v4_64,0.152694433927536,0.789996325969696,0.7224863767623901,0.7211779952049255,0.7430399060249329,,,f1_score,CVCL_0023,
14,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.16894327104091644, 'average_precision': 0.8055833578109741, 'f1_score': 0.743469774723053, 'recall': 0.7551991939544678, 'precision': 0.7472558617591858, 'primary_metric': 'f1_score'}",PCA.t_v4_128,0.16894327104091644,0.8055833578109741,0.743469774723053,0.7551991939544678,0.7472558617591858,,,f1_score,CVCL_0023,
15,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.15774227678775787, 'average_precision': 0.7956833243370056, 'f1_score': 0.7354927659034729, 'recall': 0.7411699891090393, 'precision': 0.7450833916664124, 'primary_metric': 'f1_score'}",PCA.logFC_v4_128,0.15774227678775787,0.7956833243370056,0.7354927659034729,0.7411699891090393,0.7450833916664124,,,f1_score,CVCL_0023,
16,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.16682986915111542, 'average_precision': 0.796230673789978, 'f1_score': 0.7294029593467712, 'recall': 0.729826807975769, 'precision': 0.7421981692314148, 'primary_metric': 'f1_score'}",MiniMol,0.16682986915111542,0.796230673789978,0.7294029593467712,0.729826807975769,0.7421981692314148,,,f1_score,CVCL_0023,
17,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.17385883629322052, 'average_precision': 0.8033362030982971, 'f1_score': 0.7381589412689209, 'recall': 0.7387368679046631, 'precision': 0.7503258585929871, 'primary_metric': 'f1_score'}",AIDOcell_100M_Norman_Aligned_(D=640)_concat,0.17385883629322052,0.8033362030982971,0.7381589412689209,0.7387368679046631,0.7503258585929871,,,f1_score,CVCL_0023,
18,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.14902229607105255, 'average_precision': 0.788963258266449, 'f1_score': 0.7336572408676147, 'recall': 0.734712541103363, 'precision': 0.7431228160858154, 'primary_metric': 'f1_score'}",chatgpt,0.14902229607105255,0.788963258266449,0.7336572408676147,0.734712541103363,0.7431228160858154,,,f1_score,CVCL_0023,
19,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.15685243904590607, 'average_precision': 0.7934938669204712, 'f1_score': 0.7304462194442749, 'recall': 0.7311071753501892, 'precision': 0.744474470615387, 'primary_metric': 'f1_score'}",LPM_emb,0.15685243904590607,0.7934938669204712,0.7304462194442749,0.7311071753501892,0.744474470615387,,,f1_score,CVCL_0023,
20,expression/pert_prediction_tahoe_deg,CVCL_0023.1,"{'roc_auc': 0.2225838005542755, 'average_precision': 0.7895095348358154, 'f1_score': 0.7101529240608215, 'recall': 0.7216438055038452, 'precision': 0.7118890285491943, 'primary_metric': 'f1_score'}",random,0.2225838005542755,0.7895095348358154,0.7101529240608215,0.7216438055038452,0.7118890285491943,,,f1_score,CVCL_0023,
21,expression/pert_prediction_tahoe_deg,CVCL_0023.1,"{'roc_auc': 0.32223376631736755, 'average_precision': 0.8914468288421631, 'f1_score': 0.7878133654594421, 'recall': 0.8039354085922241, 'precision': 0.7928254008293152, 'primary_metric': 'f1_score'}",pca,0.32223376631736755,0.8914468288421631,0.7878133654594421,0.8039354085922241,0.7928254008293152,,,f1_score,CVCL_0023,
22,expression/pert_prediction_tahoe_deg,CVCL_0023.1,"{'roc_auc': 0.21583184599876404, 'average_precision': 0.7831538319587708, 'f1_score': 0.6929376125335693, 'recall': 0.7175632119178772, 'precision': 0.6843793392181396, 'primary_metric': 'f1_score'}",PCA.logFC_v1_64,0.21583184599876404,0.7831538319587708,0.6929376125335693,0.7175632119178772,0.6843793392181396,,,f1_score,CVCL_0023,
23,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.14937061071395874, 'average_precision': 0.7869760394096375, 'f1_score': 0.7261900305747986, 'recall': 0.7266523241996765, 'precision': 0.7369162440299988, 'primary_metric': 'f1_score'}",ECFP:2_pkl,0.14937061071395874,0.7869760394096375,0.7261900305747986,0.7266523241996765,0.7369162440299988,,,f1_score,CVCL_0023,
24,expression/pert_prediction_tahoe_deg,CVCL_0023.1,"{'roc_auc': 0.21061982214450836, 'average_precision': 0.7741265296936035, 'f1_score': 0.6885619163513184, 'recall': 0.7154998183250427, 'precision': 0.6766259670257568, 'primary_metric': 'f1_score'}",PCA.t_v1_64,0.21061982214450836,0.7741265296936035,0.6885619163513184,0.7154998183250427,0.6766259670257568,,,f1_score,CVCL_0023,
25,expression/pert_prediction_tahoe_deg,CVCL_0023.1,"{'roc_auc': 0.18777602910995483, 'average_precision': 0.7661677002906799, 'f1_score': 0.6826384663581848, 'recall': 0.6855518817901611, 'precision': 0.6970344185829163, 'primary_metric': 'f1_score'}",PCA.logFC_v2_64,0.18777602910995483,0.7661677002906799,0.6826384663581848,0.6855518817901611,0.6970344185829163,,,f1_score,CVCL_0023,
26,expression/pert_prediction_tahoe_deg,CVCL_0023.1,"{'roc_auc': 0.19310316443443298, 'average_precision': 0.7689113020896912, 'f1_score': 0.6896219253540039, 'recall': 0.6960708498954773, 'precision': 0.6973657011985779, 'primary_metric': 'f1_score'}",PCA.logFC_v2_128,0.19310316443443298,0.7689113020896912,0.6896219253540039,0.6960708498954773,0.6973657011985779,,,f1_score,CVCL_0023,
27,expression/pert_prediction_tahoe_deg,CVCL_0023.1,"{'roc_auc': 0.18516293168067932, 'average_precision': 0.7624008059501648, 'f1_score': 0.6763145923614502, 'recall': 0.6782069802284241, 'precision': 0.69007807970047, 'primary_metric': 'f1_score'}",PCA.t_v2_64,0.18516293168067932,0.7624008059501648,0.6763145923614502,0.6782069802284241,0.69007807970047,,,f1_score,CVCL_0023,
28,expression/pert_prediction_tahoe_deg,CVCL_0023.1,"{'roc_auc': 0.19229768216609955, 'average_precision': 0.7649926543235779, 'f1_score': 0.6851425766944885, 'recall': 0.6936225295066833, 'precision': 0.6883583664894104, 'primary_metric': 'f1_score'}",PCA.t_v2_128,0.19229768216609955,0.7649926543235779,0.6851425766944885,0.6936225295066833,0.6883583664894104,,,f1_score,CVCL_0023,
