cell_line,split,name,estimator,embedding,primary_metric,L2,MSE,MAE,Spearman,Pearson,path
CVCL_0023,heldout_molecules,knn_baseline_ChemBERTa-77M-MLM,knn,ChemBERTa-77M-MLM,L2,5.938565064891627,0.0022736162612130486,0.018018726000018845,0.3409075185215095,0.40939133016967266,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-12-59.781302.json
CVCL_0023,heldout_molecules,knn_baseline_ChemBERTa-77M-MTR,knn,ChemBERTa-77M-MTR,L2,5.909001030055668,0.002275784730587469,0.017898659004002213,0.3475369294427753,0.41723911447328527,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-12-54.819436.json
CVCL_0023,heldout_molecules,knn_baseline_MiniMol,knn,MiniMol,L2,5.794186413136529,0.002197999271964044,0.017606632871995435,0.3729233219273454,0.45723440080627636,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-14.252324.json
CVCL_0023,heldout_molecules,knn_baseline_MolT5,knn,MolT5,L2,5.935996823949911,0.002274414668953433,0.017977413022203285,0.34408022602844923,0.41006116024595823,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-42.789536.json
CVCL_0023,heldout_molecules,knn_baseline_avalon,knn,avalon,L2,5.85926836352674,0.0022750711612118724,0.01773606888316592,0.35847206813688204,0.4312727690313159,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-49.756064.json
CVCL_0023,heldout_molecules,knn_baseline_boltz_affinity_pred_value_fragment,knn,boltz_affinity_pred_value_fragment,L2,5.864600336035282,0.002235417920342092,0.01777506374268652,0.36055837941309704,0.4345675788180573,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-17.613216.json
CVCL_0023,heldout_molecules,knn_baseline_boltz_affinity_pred_value_protein,knn,boltz_affinity_pred_value_protein,L2,5.877906700654754,0.002253172988656978,0.017819764656673932,0.3583895385461298,0.43080135734130626,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-42.703587.json
CVCL_0023,heldout_molecules,knn_baseline_chatgpt,knn,chatgpt,L2,5.894670840771842,0.002212548876894986,0.01800503282395507,0.3425093113168487,0.4262299033189891,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-00.474205.json
CVCL_0023,heldout_molecules,knn_baseline_ecfp:2,knn,ecfp:2,L2,5.858157558315033,0.0022641628998485252,0.01774459021677651,0.35890947857630773,0.4332801186308158,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-49.551832.json
CVCL_0023,heldout_molecules,knn_baseline_erg,knn,erg,L2,5.881845859696138,0.0022720584277022373,0.017835296963123252,0.3514251454459976,0.4241842875484418,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-42.396331.json
CVCL_0023,heldout_molecules,knn_baseline_maccs,knn,maccs,L2,5.871446390693338,0.0022593197237324963,0.017819809311216416,0.35558035361933343,0.4284060217980743,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-04.755539.json
CVCL_0023,heldout_molecules,knn_baseline_morgan_initialized_lpm,knn,morgan_initialized_lpm,L2,5.8779177492076435,0.0022978532852841937,0.017814569735881813,0.3493372488162099,0.4191850538117552,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-12-53.858496.json
CVCL_0023,heldout_molecules,knn_baseline_pca,knn,pca,L2,3.712698348747356,0.0011135162664797547,0.01169949868766654,0.6605521575248945,0.8190057831861843,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-12-54.344221.json
CVCL_0023,heldout_molecules,knn_baseline_random,knn,random,L2,5.907372625050867,0.002288574714490326,0.01789637819597974,0.3467790663453117,0.4169587265023564,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-12-54.082326.json
CVCL_0023,heldout_molecules,knn_baseline_secfp,knn,secfp,L2,5.86414270317069,0.002290532600695014,0.0177517959060577,0.3579067843323766,0.43193501535434414,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-43.906314.json
CVCL_0023,heldout_molecules,knn_baseline_topological,knn,topological,L2,5.896996903607492,0.002295799636008859,0.017872947257931465,0.34939409789864895,0.41882854029155037,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-11.678620.json
CVCL_0023,heldout_molecules,knn_baseline_unimol2-570m-H,knn,unimol2-570m-H,L2,5.912597962209965,0.0022727867814217526,0.01795240782077162,0.34624479030295957,0.41631961667222755,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-55.476622.json
CVCL_0023,heldout_molecules,lasso_baseline_ChemBERTa-77M-MLM,lasso,ChemBERTa-77M-MLM,L2,5.8621310328784295,0.002246951541530905,0.01775911077118582,0.3586897863538983,0.4324334689550444,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-15.189789.json
CVCL_0023,heldout_molecules,lasso_baseline_ChemBERTa-77M-MTR,lasso,ChemBERTa-77M-MTR,L2,5.855827728287629,0.002244568098062462,0.017748079693627086,0.3588376090490507,0.4353179985676365,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-08.527052.json
CVCL_0023,heldout_molecules,lasso_baseline_MiniMol,lasso,MiniMol,L2,5.847609407358711,0.00223941238030095,0.017735628061113243,0.3596662003075983,0.4377154558129695,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-25.816053.json
CVCL_0023,heldout_molecules,lasso_baseline_MolT5,lasso,MolT5,L2,5.88048279420907,0.0022551970866573315,0.0177940619190888,0.35700002910795786,0.42628338018628176,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-53.708715.json
CVCL_0023,heldout_molecules,lasso_baseline_avalon,lasso,avalon,L2,5.872281419775436,0.00224844841284796,0.017782448389092577,0.35793737696156147,0.4279414173433584,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-14-05.867969.json
CVCL_0023,heldout_molecules,lasso_baseline_boltz_affinity_pred_value_fragment,lasso,boltz_affinity_pred_value_fragment,L2,5.858907792296899,0.002248657172209151,0.017755407878024713,0.3587402090575136,0.4338898623378778,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-33.376909.json
CVCL_0023,heldout_molecules,lasso_baseline_boltz_affinity_pred_value_protein,lasso,boltz_affinity_pred_value_protein,L2,5.848015037653841,0.0022403058370245002,0.01774565799027819,0.3597393503318472,0.43886512673467715,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-57.649799.json
CVCL_0023,heldout_molecules,lasso_baseline_chatgpt,lasso,chatgpt,L2,5.823280479870313,0.0022151706653276296,0.017687162533569542,0.3616610881651823,0.4448494979672428,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-13.301808.json
CVCL_0023,heldout_molecules,lasso_baseline_ecfp:2,lasso,ecfp:2,L2,5.87534343599468,0.002257542677971656,0.017777790637095708,0.3582454069946463,0.4286465341685555,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-14-02.544951.json
CVCL_0023,heldout_molecules,lasso_baseline_erg,lasso,erg,L2,5.862001407605231,0.0022504340589576703,0.01775857594152981,0.35871607051136156,0.4328228724408335,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-56.828943.json
CVCL_0023,heldout_molecules,lasso_baseline_maccs,lasso,maccs,L2,5.86039089221605,0.002248150211618684,0.017757969210629863,0.3586551627116716,0.4334345213944674,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-20.715836.json
CVCL_0023,heldout_molecules,lasso_baseline_morgan_initialized_lpm,lasso,morgan_initialized_lpm,L2,5.965084078390163,0.002278005886013014,0.017874049954658185,0.35688603878021036,0.40476831713786976,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-08.273831.json
CVCL_0023,heldout_molecules,lasso_baseline_pca,lasso,pca,L2,2.5035756246835676,0.0005221810064501162,0.00905059072909577,0.6995844195982085,0.9146039941800143,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-14.807615.json
CVCL_0023,heldout_molecules,lasso_baseline_random,lasso,random,L2,5.862001407605231,0.0022504340589576703,0.01775857594152981,0.35871607051136156,0.4328228724408335,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-07.924472.json
CVCL_0023,heldout_molecules,lasso_baseline_secfp,lasso,secfp,L2,5.858821774230381,0.0022466768018132486,0.017753425023427874,0.35872797652104493,0.43349159755163613,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-58.434946.json
CVCL_0023,heldout_molecules,lasso_baseline_topological,lasso,topological,L2,5.867724034505601,0.0022502969787327786,0.01776282223654215,0.35854890603754214,0.43085849694590544,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-13-29.280190.json
CVCL_0023,heldout_molecules,lasso_baseline_unimol2-570m-H,lasso,unimol2-570m-H,L2,5.862409628233028,0.002250528183194647,0.017758676114745568,0.35867385873214314,0.432633839235095,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0023.heldout_molecules/2026-05-26T00-14-07.709256.json
CVCL_0028,heldout_molecules,knn_baseline_ChemBERTa-77M-MLM,knn,ChemBERTa-77M-MLM,L2,6.04659209737063,0.0020976553055148035,0.02161435058294104,0.247475225548339,0.34061090559424095,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0028.heldout_molecules/2026-05-26T00-14-33.867022.json
CVCL_0028,heldout_molecules,knn_baseline_ChemBERTa-77M-MTR,knn,ChemBERTa-77M-MTR,L2,5.994380431556811,0.002080505635465836,0.021406904214742943,0.2642889399411142,0.3613131663477588,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0028.heldout_molecules/2026-05-26T00-14-33.949054.json
CVCL_0028,heldout_molecules,knn_baseline_MiniMol,knn,MiniMol,L2,5.914381314120526,0.002026831017813295,0.02113040472328006,0.2877924909128716,0.3897859065642996,benchmark/benchmark/submissions_tahoe_lfc_heldout_molecules_fresh/expression/pert_prediction_tahoe_regression/CVCL_0028.heldout_molecules/2026-05-26T00-14-39.770154.json
