,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
0,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 6.265899070774809, 'MSE': 0.0023868811959013776, 'MAE': 0.01959009936580703, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,6.265899070774809,0.0023868811959013776,0.01959009936580703,,,CVCL_0320
1,expression/pert_prediction_tahoe_regression,CVCL_0320.1,"{'primary_metric': 'L2', 'L2': 6.349456373371025, 'MSE': 0.0025056162126820113, 'MAE': 0.020070372432554984, 'Spearman': 0.28558930676544897, 'Pearson': 0.38802945672393824}",context mean baseline,L2,6.349456373371025,0.0025056162126820113,0.020070372432554984,0.28558930676544897,0.38802945672393824,CVCL_0320
2,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 5.8409559419510675, 'MSE': 0.0021614362893690115, 'MAE': 0.01846549495296095, 'Spearman': 0.27338151987507303, 'Pearson': 0.3750155935232921}",context mean baseline,L2,5.8409559419510675,0.0021614362893690115,0.01846549495296095,0.27338151987507303,0.3750155935232921,CVCL_0320
3,expression/pert_prediction_tahoe_regression,CVCL_0320.1,"{'primary_metric': 'L2', 'L2': 6.83752988648083, 'MSE': 0.002832278744162944, 'MAE': 0.0214078655210068, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,6.83752988648083,0.002832278744162944,0.0214078655210068,,,CVCL_0320
4,expression/pert_prediction_tahoe_regression,CVCL_0320.2,"{'primary_metric': 'L2', 'L2': 7.434820232175103, 'MSE': 0.004077800959612359, 'MAE': 0.022607522592107597, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,7.434820232175103,0.004077800959612359,0.022607522592107597,,,CVCL_0320
5,expression/pert_prediction_tahoe_regression,CVCL_0320.2,"{'primary_metric': 'L2', 'L2': 6.949028479751422, 'MSE': 0.0036651372163029514, 'MAE': 0.021212552751651476, 'Spearman': 0.2947010485764561, 'Pearson': 0.3915350526106652}",context mean baseline,L2,6.949028479751422,0.0036651372163029514,0.021212552751651476,0.2947010485764561,0.3915350526106652,CVCL_0320
6,expression/pert_prediction_tahoe_regression,CVCL_0320.3,"{'primary_metric': 'L2', 'L2': 5.295797006433411, 'MSE': 0.0015719745205728644, 'MAE': 0.01649124004168695, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,5.295797006433411,0.0015719745205728644,0.01649124004168695,,,CVCL_0320
7,expression/pert_prediction_tahoe_regression,CVCL_0320.3,"{'primary_metric': 'L2', 'L2': 5.145048783048951, 'MSE': 0.0014724255785177863, 'MAE': 0.01624822342444016, 'Spearman': 0.2436276119478663, 'Pearson': 0.32883445662752375}",context mean baseline,L2,5.145048783048951,0.0014724255785177863,0.01624822342444016,0.2436276119478663,0.32883445662752375,CVCL_0320
8,expression/pert_prediction_tahoe_regression,CVCL_0320.4,"{'primary_metric': 'L2', 'L2': 6.047978662150492, 'MSE': 0.0023883993258406854, 'MAE': 0.01883742937282281, 'Spearman': 0.31819926692620254, 'Pearson': 0.4187998849402286}",context mean baseline,L2,6.047978662150492,0.0023883993258406854,0.01883742937282281,0.31819926692620254,0.4187998849402286,CVCL_0320
9,expression/pert_prediction_tahoe_regression,CVCL_0320.4,"{'primary_metric': 'L2', 'L2': 6.582599068119333, 'MSE': 0.002725358387160529, 'MAE': 0.020391286901432517, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,6.582599068119333,0.002725358387160529,0.020391286901432517,,,CVCL_0320
10,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 5.876462629942267, 'MSE': 0.002155587498831374, 'MAE': 0.018556491029741617, 'Spearman': 0.26437235080344546, 'Pearson': 0.3647949221808356}",knn_baseline_PCA.t_v1_64,L2,5.876462629942267,0.002155587498831374,0.018556491029741617,0.26437235080344546,0.3647949221808356,CVCL_0320
11,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 5.8543772824686675, 'MSE': 0.002152918868408834, 'MAE': 0.018511216349039652, 'Spearman': 0.2713951787486544, 'Pearson': 0.37631754571955656}",knn_baseline_random,L2,5.8543772824686675,0.002152918868408834,0.018511216349039652,0.2713951787486544,0.37631754571955656,CVCL_0320
12,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 5.945202441918777, 'MSE': 0.0022570878724869495, 'MAE': 0.018732229737324853, 'Spearman': 0.24757564019078532, 'Pearson': 0.3299947746745097}",knn_baseline_PCA.logFC_v1_64,L2,5.945202441918777,0.0022570878724869495,0.018732229737324853,0.24757564019078532,0.3299947746745097,CVCL_0320
13,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 4.156377462783409, 'MSE': 0.001251517615941677, 'MAE': 0.01340822795407037, 'Spearman': 0.5760362426118336, 'Pearson': 0.7600692976896783}",knn_baseline_pca,L2,4.156377462783409,0.001251517615941677,0.01340822795407037,0.5760362426118336,0.7600692976896783,CVCL_0320
14,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 5.867466406798986, 'MSE': 0.0021946867217151945, 'MAE': 0.018531612246535042, 'Spearman': 0.2658012072027026, 'Pearson': 0.36352127426630865}",knn_baseline_PCA.logFC_v2_64,L2,5.867466406798986,0.0021946867217151945,0.018531612246535042,0.2658012072027026,0.36352127426630865,CVCL_0320
15,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 5.8828210484555274, 'MSE': 0.0021732246438394913, 'MAE': 0.018585199433368692, 'Spearman': 0.26170896441267916, 'Pearson': 0.3635794657196201}",knn_baseline_PCA.t_v2_128,L2,5.8828210484555274,0.0021732246438394913,0.018585199433368692,0.26170896441267916,0.3635794657196201,CVCL_0320
16,expression/pert_prediction_tahoe_regression,CVCL_0320.0,"{'primary_metric': 'L2', 'L2': 5.872832228733834, 'MSE': 0.002174292857568599, 'MAE': 0.018558347757625052, 'Spearman': 0.26275035899813887, 'Pearson': 0.365811164231265}",knn_baseline_PCA.t_v2_64,L2,5.872832228733834,0.002174292857568599,0.018558347757625052,0.26275035899813887,0.365811164231265,CVCL_0320
