,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
0,expression/pert_prediction_tahoe_regression,CVCL_0023.0,"{'primary_metric': 'L2', 'L2': 4.480668825069654, 'MSE': 0.0013180984921776708, 'MAE': 0.013953165204848607, 'Spearman': 0.5479419571812266, 'Pearson': 0.6910471085711372}",knn_baseline_LPM_emb,L2,4.480668825069654,0.0013180984921776708,0.013953165204848607,0.5479419571812266,0.6910471085711372,CVCL_0023
1,expression/pert_prediction_tahoe_regression,CVCL_0028.0,"{'primary_metric': 'L2', 'L2': 5.102560827331109, 'MSE': 0.0015657945023792267, 'MAE': 0.018666138987097135, 'Spearman': 0.480786982899415, 'Pearson': 0.6157773474160484}",knn_baseline_LPM_emb,L2,5.102560827331109,0.0015657945023792267,0.018666138987097135,0.480786982899415,0.6157773474160484,CVCL_0028
2,expression/pert_prediction_tahoe_regression,CVCL_0069.0,"{'primary_metric': 'L2', 'L2': 4.276878236481663, 'MSE': 0.0012108315775611236, 'MAE': 0.01473219859097904, 'Spearman': 0.527950402942591, 'Pearson': 0.6734742115750766}",knn_baseline_LPM_emb,L2,4.276878236481663,0.0012108315775611236,0.01473219859097904,0.527950402942591,0.6734742115750766,CVCL_0069
3,expression/pert_prediction_tahoe_regression,CVCL_0099.0,"{'primary_metric': 'L2', 'L2': 4.472988879371218, 'MSE': 0.0013328122039734604, 'MAE': 0.014984216516028263, 'Spearman': 0.49008051464396196, 'Pearson': 0.6464570533815777}",knn_baseline_LPM_emb,L2,4.472988879371218,0.0013328122039734604,0.014984216516028263,0.49008051464396196,0.6464570533815777,CVCL_0099
4,expression/pert_prediction_tahoe_regression,CVCL_0131.0,"{'primary_metric': 'L2', 'L2': 4.620279614316863, 'MSE': 0.0013916842168330515, 'MAE': 0.014940287351318216, 'Spearman': 0.5533599187291358, 'Pearson': 0.6843749980519654}",knn_baseline_LPM_emb,L2,4.620279614316863,0.0013916842168330515,0.014940287351318216,0.5533599187291358,0.6843749980519654,CVCL_0131
5,expression/pert_prediction_tahoe_regression,CVCL_0152.0,"{'primary_metric': 'L2', 'L2': 4.38900843812546, 'MSE': 0.0012869656549357696, 'MAE': 0.013098413824743442, 'Spearman': 0.5031353742112907, 'Pearson': 0.6571122807641738}",knn_baseline_LPM_emb,L2,4.38900843812546,0.0012869656549357696,0.013098413824743442,0.5031353742112907,0.6571122807641738,CVCL_0152
6,expression/pert_prediction_tahoe_regression,CVCL_0179.0,"{'primary_metric': 'L2', 'L2': 4.455219139688716, 'MSE': 0.0012112494873037, 'MAE': 0.014779567018158205, 'Spearman': 0.5218658648727493, 'Pearson': 0.6556120873334178}",knn_baseline_LPM_emb,L2,4.455219139688716,0.0012112494873037,0.014779567018158205,0.5218658648727493,0.6556120873334178,CVCL_0179
7,expression/pert_prediction_tahoe_regression,CVCL_0218.0,"{'primary_metric': 'L2', 'L2': 4.595281281369898, 'MSE': 0.0014402903582044885, 'MAE': 0.01485089709999469, 'Spearman': 0.5097060898657554, 'Pearson': 0.6481080105996185}",knn_baseline_LPM_emb,L2,4.595281281369898,0.0014402903582044885,0.01485089709999469,0.5097060898657554,0.6481080105996185,CVCL_0218
8,expression/pert_prediction_tahoe_regression,CVCL_0292.0,"{'primary_metric': 'L2', 'L2': 4.346688070427451, 'MSE': 0.001200782923314246, 'MAE': 0.014785567532831211, 'Spearman': 0.509825186234737, 'Pearson': 0.653276894881049}",knn_baseline_LPM_emb,L2,4.346688070427451,0.001200782923314246,0.014785567532831211,0.509825186234737,0.653276894881049,CVCL_0292
9,expression/pert_prediction_tahoe_regression,CVCL_0293.0,"{'primary_metric': 'L2', 'L2': 4.269128577788956, 'MSE': 0.0011781007131641246, 'MAE': 0.014182102488965039, 'Spearman': 0.5265652026715266, 'Pearson': 0.6629270576685095}",knn_baseline_LPM_emb,L2,4.269128577788956,0.0011781007131641246,0.014182102488965039,0.5265652026715266,0.6629270576685095,CVCL_0293
